city,hotel,address,rating,reviews,url,description,latitude,longitude
Avignon,Hôtel Le Bristol,"44 Cours Jean Jaurès, 84000 Avignon, France",8.3,5006,https://www.booking.com/hotel/fr/hotel-bristol-avignon.fr.html,"Idéalement situé à l’intérieur des remparts du centre d’Avignon, l’Hôtel Le Bristol vous propose des chambres climatisées, un bar, une connexion Wi-Fi...",43.9440321,4.8053317
Avignon,Maison Rascas - Centre historique - Air conditioning- wifi,"16 Rue Rascas, 84000 Avignon, France",8.8,155,https://www.booking.com/hotel/fr/maison-rascas.fr.html,"L’établissement Maison Rascas - Centre historique - Air conditioning- wifi se situe dans le centre de Avignon, à respectivement 1,7 km et 1,2 km de ces...",43.9503586,4.8167692
Avignon,Le Vieux Sextier - AC Clim - Lumineux - WIFI - Hypercentre,"16 Rue du Vieux Sextier, 84000 Avignon, France",8.5,24,https://www.booking.com/hotel/fr/le-vieux-sextier-lumineux-wifi-hyper-centre.fr.html,"Offrant une vue sur la ville et doté d’une connexion Wi-Fi gratuite, l’hébergement Le Vieux Sextier - AC Clim - Lumineux - WIFI - Hypercentre se situe au...",43.9481906,4.8084270
Avignon,TopTip - CLiM - Terrasse - Wi-Fi -Parking gratuit en souterrain,"3 Rue Portail Bienson, 84000 Avignon, France",8.8,29,https://www.booking.com/hotel/fr/toptip-clim-terrasse-wi-fi.fr.html,"L’hébergement TopTip - CLiM - Terrasse - Wi-Fi -Parking gratuit en souterrain se situe au cœur de Avignon, à proximité de ces lieux d’intérêt : Palais des...",43.9474518,4.8036939
Avignon,Le Complot : Maison privée en plein coeur d'Avignon,"16 Impasse Jean Pierre Gras, 84000 Avignon, France",9.7,18,https://www.booking.com/hotel/fr/le-complot-maison-privee-en-plein-coeur-d-avignon.fr.html,"Proposant une terrasse, l’hébergement Le Complot : Maison privée en plein coeur d'Avignon est idéalement placé dans le centre de Avignon.",43.9507098,4.8103353
Avignon,"Le Cosy du Gal, à 2 Pas du Palais des Papes parking gratuit securisé","7 rue du Gal, 84000 Avignon, France",7.9,13,https://www.booking.com/hotel/fr/les-2-arbres.fr.html,"Proposant un jardin, l’hébergement Le Cosy du Gal, à 2 Pas du Palais des Papes parking gratuit securisé est idéalement situé dans le centre de Avignon.",43.9500679,4.8091860
Avignon,"Duplex-Ceiling height 1,9m-Free private parking-Self check in !! Duplex climatisé-Hauteur sous plafond 1,9m-Parking privé gratuit-Arrivée autonome !!","71 Rue Joseph Vernet, 84000 Avignon, France",9.6,122,https://www.booking.com/hotel/fr/duplex-climatise-au-centre-ville-d-avignon-avec-parking-prive-gratuit.fr.html,"Situé dans le centre de Avignon, l’hébergement Duplex-Ceiling height 1,9m-Free private parking-Self check in!!",43.9465116,4.8035118
Avignon,AVIGNON hyper centre calme,"22 Rue Saint-Charles, 84000 Avignon, France",9.7,7,https://www.booking.com/hotel/fr/avignon-hyper-centre-calme.fr.html,"L’hébergement AVIGNON hyper centre calme vous accueille à Avignon, à seulement 300 mètres de ce lieu d’intérêt : Gare d'Avignon-Centre.",43.9439440,4.8033400
Avignon,Avignon Grand Hotel,"34, bd Saint-Roch, 84000 Avignon, France",8.2,3016,https://www.booking.com/hotel/fr/avignongrandhotel.fr.html,"Doté d'une petite piscine sur le toit, l'Avignon Grand Hotel bénéficie d'un emplacement idéal à proximité directe des remparts médiévaux d'Avignon, à...",43.9425451,4.8043621
Avignon,Aux MARCHES DU PALAIS - AC CLIM - SPACIEUX - TERRASSE - WIFI,"10 Rue Puits de la Reille, 84000 Avignon, France",9.0,90,https://www.booking.com/hotel/fr/nouveau-aux-marches-du-palais-spacieux-loggia.fr.html,L’hébergement Aux MARCHES DU PALAIS - AC CLIM - SPACIEUX - TERRASSE - WIFI bénéficie d’un emplacement stratégique dans le centre de Avignon.,43.9520550,4.8054629
Avignon,Les Cachettes,"6 Rue des Bains, 84000 Avignon, France",8.9,409,https://www.booking.com/hotel/fr/nos-cachettes.fr.html,"Situé à 300 mètres du Palais des papes, le Les Cachettes dispose d'une connexion Wi-Fi gratuite.",43.9509899,4.8106302
Avignon,"Agréable Studio refait à neuf, Centre historique","10 Place Jérusalem, 84000 Avignon, France",9.3,6,https://www.booking.com/hotel/fr/agreable-studio-refait-a-neuf-centre-historique.fr.html,"L’hébergement Agréable Studio refait à neuf, Centre historique se situe au cœur de Avignon, à respectivement 600 mètres et 900 mètres de ces lieux...",43.9486279,4.8088759
Avignon,Appartement Les Hortensias,"20, Boulevard de la Liberté, 84000 Avignon, France",9.3,56,https://www.booking.com/hotel/fr/les-hortensias-avignon.fr.html,"Situé à 10 minutes à pied du centre d'Avignon et à seulement 15 minutes de marche du quartier historique du Palais des Papes, l'établissement Les...",43.9433767,4.8191273
Avignon,ibis budget Avignon Centre,"8, boulevard Saint Dominique, 84000 Avignon, France",7.7,3528,https://www.booking.com/hotel/fr/ibis-budget-avignon-centre.fr.html,"Situé à Avignon, l'ibis budget Avignon Centre propose une connexion Wi-Fi gratuite, à 30 minutes de route d'Orange et du pont du Gard, ainsi qu'à 1,3 km du...",43.9437563,4.7981524
Avignon,"Au cœur des Papes, dans bâtisse de charme studios & appartements en cœur de ville","5 Rue et Place Noël Antoine Biret, 84000 Avignon, France",8.0,734,https://www.booking.com/hotel/fr/au-coeur-des-papes.fr.html,"Proposant une terrasse et une connexion Wi-Fi gratuite, l’établissement Au cœur des Papes, dans bâtisse de charme studios & appartements en cœur de ville...",43.9461706,4.8101887
Avignon,Novotel Avignon Centre,"20 boulevard Saint Roch, 84000 Avignon, France",7.9,885,https://www.booking.com/hotel/fr/novotel-avignon-centre.fr.html,"Installé à côté de la gare ferroviaire d’Avignon, le Novotel Avignon Centrevous propose une piscine extérieure et un salon de beauté.",43.9427354,4.8024362
Avignon,Hotel Le Magnan,"63 Rue du Portail Magnanen, 84000 Avignon, France",8.4,2492,https://www.booking.com/hotel/fr/hotellemagnan.fr.html,"Situé dans un cadre verdoyant au sein des anciens remparts de la ville, Le Magnan propose une connexion Wi-Fi gratuite.",43.9436295,4.8121713
Avignon,ibis Styles Avignon Sud,"2968 avenue de l'Amandier, 84000 Avignon, France",8.3,2656,https://www.booking.com/hotel/fr/avignon.fr.html,"L'ibis Styles Avignon Sud se situe à 4 km des remparts de la ville d'Avignon, au cœur de la Provence et du massif du Luberon.",43.9261655,4.8444209
Avignon,Mercure Pont d’Avignon Centre,"Rue Ferruce, 84000 Avignon, France",7.8,986,https://www.booking.com/hotel/fr/pont-d-avignon.fr.html,"Featuring free WiFi throughout the property, Mercure Pont d’Avignon Centre is located in the historic centre of Avignon, just 100 metres from the Pont...",43.9528408,4.8059338
Avignon,Mercure Avignon Centre Palais des Papes,"1 Rue Jean Vilar Accès voiture: parking du Palais des Papes (GPS: Boulevard de la ligne), 84000 Avignon, France",7.8,650,https://www.booking.com/hotel/fr/mercure-cite-des-papes.fr.html,"Situé au cœur d'Avignon, sur la place centrale de l'Horloge, à 50 mètres du Palais des Papes et à 500 mètres du Pont d'Avignon, le Mercure Avignon Centre...",43.9499014,4.8064770
Avignon,Hôtel Cloitre Saint Louis Avignon,"20, rue du Portail Boquier, 84000 Avignon, France",7.6,3355,https://www.booking.com/hotel/fr/clarioncloitrestlouis.fr.html,"Situé dans le centre d'Avignon, à 15 minutes à pied du palais des papes et du pont de la ville, l'Hôtel Cloitre Saint Louis Avignon occupe un bâtiment du...",43.9438081,4.8049468
Avignon,Best Western Plus Le Lavarin,"1715 Chemin du Lavarin, 84000 Avignon, France",8.3,2193,https://www.booking.com/hotel/fr/hotellelavarin.fr.html,"L’hôtel Best Western Plus Le Lavarin est situé à Avignon, à 2,5 km des remparts, du Palais des Papes et du Pont d'Avignon.",43.9227577,4.8042950
Avignon,La Chapelle du Miracle,"13 rue velouterie, 84000 Avignon, France",9.0,499,https://www.booking.com/hotel/fr/chapelle-du-miracle.fr.html,"Situé à Avignon, l'établissement La Chapelle du Miracle est une chapelle du XIVe siècle, rénovée en 2006 et classée monument historique.",43.9444830,4.7994959
city,hotel,address,rating,reviews,url,description,latitude,longitude
Marseille,Radisson Blu Hotel Marseille Vieux Port,"38-40 Quai Rive Neuve, 13007 Marseille, France",8.5,1337,https://www.booking.com/hotel/fr/radisson-sas-marseille-vieux-port.fr.html,"Surplombant le Vieux-Port, le Radisson Blu Hotel Marseille Vieux Port vous accueille à Marseille.",43.2925834,5.3670278
Marseille,NH Collection Marseille,"37 Boulevard des Dames, 13002 Marseille, France",8.7,3172,https://www.booking.com/hotel/fr/nh-collection-marseille.fr.html,"Doté d'un bar à cocktails, d'un jardin et d'une salle de sport au 6ème étage, le NH Collection Marseille vous accueille à La Joliette, le nouveau quartier...",43.3024211,5.3686337
Marseille,La Résidence Du Vieux Port,"18 Quai Du Port, 13002 Marseille, France",8.8,2159,https://www.booking.com/hotel/fr/hotel-la-residence-du-vieux-port.fr.html,"L'établissement La Residence Du Vieux Port vous accueille sur les quais du Vieux-Port, dans le centre de Marseille.",43.2965386,5.3727061
Marseille,New Hotel Le Quai - Vieux Port,"2 place Gabriel Péri, 13001 Marseille, France",8.4,3676,https://www.booking.com/hotel/fr/vieuxport.fr.html,"Situé dans le centre de Marseille, le New Hotel Le Quai - Vieux Port donne sur le Vieux-Port et la rue commerçante La Canebière.",43.2960312,5.3748907
Marseille,Appartement Vieux-Port de Marseille - Davso - 3 étoiles,"38 Rue Francis Davso, 13001 Marseille, France",9.3,66,https://www.booking.com/hotel/fr/appartement-vieux-port-de-marseille-davso-marseille.fr.html,"L’hébergement Appartement Vieux-Port de Marseille - Davso - 3 étoiles se situe au cœur de Marseille, à proximité de ces lieux d’intérêt : Plage des...",43.2933393,5.3765135
